Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0,0.209428,56,1,1.714343,8450.4,30,0,4,1,2.0
2,0,0.29862,65,1,1.095331,6800.21,30,0,8,1,3.0
3,0,0.354825,55,0,0.652361,7947.29,30,0,9,0,4.0
4,0,0.68622,63,1,0.887382,4904.14,30,0,5,0,0.0
5,0,0.176735,29,0,1.772831,2742.28,30,0,0,0,4.0
6,0,0.378178,24,1,2.125172,7044.95,30,0,1,0,1.0
7,0,0.408159,34,0,0.893767,8820.2,30,1,10,0,0.0
8,0,0.208246,50,0,1.275491,18165.47,30,0,1,0,1.0
9,0,0.490862,52,0,0.435614,3500.84,30,0,5,0,0.0
10,0,0.591274,33,1,1.883403,8257.25,3,0,2,0,0.0
11,0,0.157581,35,0,3.358447,,30,0,4,0,1.0
12,0,0.326436,58,0,0.806012,1542.65,30,1,4,0,8.0
13,0,0.694661,53,3,1.197116,3172.81,30,0,0,0,0.0
14,0,0.270324,31,3,0.352752,12533.44,30,0,1,0,4.0
15,0,0.374553,48,1,1.146937,3330.91,30,0,1,0,1.0
16,0,0.308802,52,0,1.141368,8393.28,30,0,0,0,1.0
17,0,0.056411,69,1,0.745823,2813.41,30,0,0,0,3.0
18,0,0.024195,60,0,1.7659,3915.21,30,0,5,0,5.0
19,0,0.397214,52,1,0.899285,9447.94,30,0,3,0,0.0
20,0,0.367825,30,0,1.397801,1778.38,30,0,1,0,2.0
21,0,0.164427,67,1,1.377768,14094.87,30,0,0,0,3.0
22,0,0.186329,58,1,1.795866,7336.06,30,0,9,0,1.0
23,0,0.907611,49,1,1.466377,4975.26,30,0,6,0,0.0
24,0,1.011582,50,0,1.036023,2721.31,30,0,9,0,3.0
25,0,0.251577,67,0,3.399921,7858.81,30,0,6,0,0.0
26,0,1.035253,46,0,0.558846,2407.89,30,0,3,0,
27,0,0.168447,71,3,1.351532,4087.49,30,0,3,0,0.0
28,0,0.415192,41,0,0.436389,2934.32,30,0,0,0,0.0
29,0,0.152421,65,2,0.73818,5038.61,30,0,8,0,5.0
30,0,0.367252,48,0,1.039804,6382.03,30,0,10,1,1.0
31,0,0.568125,52,0,2.109879,4261.4,30,0,0,0,8.0
